Timestamp,"Data
"
44:32.3,"Roll: -16.08 degrees, Pitch: -7.67 degrees"
44:32.3,"Roll: -12.76 degrees, Pitch: -5.24 degrees"
44:32.3,"Roll: -9.25 degrees, Pitch: -3.54 degrees"
44:32.4,"Roll: -9.18 degrees, Pitch: -6.80 degrees"
44:32.4,"Roll: -8.01 degrees, Pitch: -6.70 degrees"
44:32.4,"Roll: -5.31 degrees, Pitch: -10.12 degrees"
44:32.4,"Roll: -9.33 degrees, Pitch: -10.84 degrees"
44:32.4,"Roll: -14.35 degrees, Pitch: -9.58 degrees"
44:32.4,"Roll: -16.47 degrees, Pitch: -9.20 degrees"
44:32.4,"Roll: -16.14 degrees, Pitch: -8.96 degrees"
44:32.4,"Roll: -16.16 degrees, Pitch: -7.11 degrees"
44:32.4,"Roll: -12.46 degrees, Pitch: -2.86 degrees"
44:32.5,"Roll: -14.37 degrees, Pitch: -0.18 degrees"
44:32.5,"Roll: -19.67 degrees, Pitch: -0.03 degrees"
44:32.5,"Roll: -17.93 degrees, Pitch: -4.89 degrees"
44:32.5,"Roll: -14.33 degrees, Pitch: -6.54 degrees"
44:32.5,"Roll: -14.16 degrees, Pitch: -4.86 degrees"
44:32.5,"Roll: -15.33 degrees, Pitch: -7.52 degrees"
44:32.5,"Roll: -16.34 degrees, Pitch: -8.56 degrees"
44:32.5,"Roll: -17.55 degrees, Pitch: -8.31 degrees"
44:32.5,"Roll: -17.10 degrees, Pitch: -7.77 degrees"
44:32.6,"Roll: -17.20 degrees, Pitch: -7.98 degrees"
44:32.6,"Roll: -15.50 degrees, Pitch: -5.17 degrees"
44:32.6,"Roll: -13.27 degrees, Pitch: -7.52 degrees"
44:32.6,"Roll: -13.93 degrees, Pitch: -6.24 degrees"
44:32.6,"Roll: -13.73 degrees, Pitch: -5.54 degrees"
44:32.6,"Roll: -13.25 degrees, Pitch: -5.91 degrees"
44:32.6,"Roll: -14.06 degrees, Pitch: -6.94 degrees"
44:32.6,"Roll: -15.58 degrees, Pitch: -7.15 degrees"
44:32.6,"Roll: -16.94 degrees, Pitch: -6.97 degrees"
44:32.7,"Roll: -17.08 degrees, Pitch: -6.88 degrees"
44:32.7,"Roll: -17.41 degrees, Pitch: -6.78 degrees"
44:32.7,"Roll: -17.08 degrees, Pitch: -5.77 degrees"
44:32.7,"Roll: -17.05 degrees, Pitch: -5.23 degrees"
44:32.7,"Roll: -16.63 degrees, Pitch: -6.20 degrees"
44:32.7,"Roll: -17.60 degrees, Pitch: -6.15 degrees"
44:32.7,"Roll: -18.47 degrees, Pitch: -6.03 degrees"
44:32.7,"Roll: -19.53 degrees, Pitch: -7.42 degrees"
44:32.7,"Roll: -20.72 degrees, Pitch: -7.41 degrees"
44:32.8,"Roll: -20.59 degrees, Pitch: -6.42 degrees"
44:32.8,"Roll: -20.21 degrees, Pitch: -6.80 degrees"
44:32.8,"Roll: -21.19 degrees, Pitch: -6.49 degrees"
44:32.8,"Roll: -20.39 degrees, Pitch: -6.74 degrees"
44:32.8,"Roll: -19.75 degrees, Pitch: -5.75 degrees"
44:32.8,"Roll: -18.64 degrees, Pitch: -6.37 degrees"
44:32.8,"Roll: -20.05 degrees, Pitch: -3.03 degrees"
